School_group,Major_cat,School,Major,Year,Gender,Age,Close_friend,Closefriend_inout,GPAX,Rate,Health_status,Health_status_iden,Family_type,Recieve_care,Recieve_care_other,Family_income,Family_income_enough,Studen_income,Student_income_enough,Dormitory,Relation_fam,Relation_friend,Relation_aj,Feel_uni_1,Feel_uni_2,Feel_uni_3,Feel_uni_4,Feel_uni_5,Feel_uni_6,Feel_envi_7,Feel_envi_8,Feel_envi_9,Feel_envi_10,Feel_envi_11,Feel_envi_12,Feel_envi_13,Feel_envi_14,Relax_activity,Problem,Problem_study,Problem_love,Problem_adjust,Problem_econ,Problem_other,Attitude,Attitude_iden,Learning_style_1,Learning_style_2,Learning_style_3,Learning_style_4,Learning_style_5,Learning_style_6,Learning_style_7,Learning_style_8,Learning_style_9,Learning_style_10,Learning_style_11,Learning_style_12,Learning_style_13,Learning_style_14,Learning_style_15,Learning_style_16,Learning_style_17,Learning_style_18,Learning_style_19,Learning_style_20,Learning_style_21,Learning_style_22,Learning_style_23,Learning_style_24,Learning_style_25,Learning_style_26,Learning_style_27,Learning_style_28,Learning_style_29,Learning_style_30
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,3,1,21,2,1,3.51,A,1,,2,1,,999,1,8000,1,2,5,4,3,4,-5,-4,3,3,0,0,-5,3,4,4,4,3,5,#NULL!,1,0,1,0,1,0,1,,2,2,1,2,2,3,5,5,2,4,2,3,5,2,2,3,5,5,4,4,4,3,3,5,1,5,5,5,4,5
1,2,นวัตกรรมสังคม,การพัระหว่างประเทศ,2,1,20,5,2,3.5,A,1,,2,1,,15000,2,5000,1,2,5,2,2,3,2,3,3,2,4,4,3,3,3,2,2,5,5,#NULL!,1,0,0,1,0,0,2,สิ่งที่ได้รับมากกว่าบทเรียนทางวิชาการ ทัศนคติที่มีต่อโลกหรือสิ่งรอบข้างเปลี่ยนไป,4,5,4,3,4,3,2,4,4,3,5,4,3,3,5,5,4,3,4,3,5,3,3,3,3,4,3,3,3,4
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,4,1,21,999,1,3.5,A,1,,2,2,,50000,1,6000,1,2,4,4,4,4,3,2,2,3,3,3,2,999,3,4,3,4,5,#NULL!,1,1,0,0,0,0,2,ได้รับรู้ มุมมองใหม่ๆที่กว้างขึ้น,4,4,4,3,4,4,4,3,5,4,4,4,4,3,3,4,5,4,4,5,3,4,4,4,3,4,4,3,4,4
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,2,1,19,2,1,3.5,A,2,ระบบต่อมน้ำเหลืองทำงานผิดปกติ,2,1,,999,3,6000,1,1,5,4,3,2,4,4,999,999,999,4,1,999,4,3,4,3,5,#NULL!,1,0,0,1,0,0,2,ดี,4,3,5,4,4,3,5,4,3,5,3,4,3,3,3,4,5,3,4,5,4,4,5,2,2,4,3,3,1,3
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,2,0,20,3,2,3.5,A,1,,1,2,,999,3,6000,1,2,3,4,3,-2,-2,-2,-1,-1,1,-2,-5,1,1,1,3,3,5,#NULL!,1,1,0,1,0,0,2,เรียนยากไปหน่อยแต่ถ้ามีเพื่อนดีอาจารดีทุกอย่างก็จะผ่านไปได้ด้วยดี,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,5,3
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,3,0,21,11,1,3.5,A,1,,2,1,,40000,1,7000,1,2,5,4,3,4,3,4,5,5,5,2,4,999,3,1,3,5,4,#NULL!,1,1,0,0,1,0,2,ได้ศึกษาในสิ่งที่ตนเองสนใจในระดับหนึ่ง,3,4,5,5,4,3,4,4,2,4,4,4,3,2,5,4,4,2,4,4,5,5,3,4,1,3,3,1,3,3
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,2,1,18,4,1,3.5,A,1,,2,1,,15000,3,5000,1,2,5,2,1,3,999,999,999,4,3,4,3,999,4,4,3,3,4,#NULL!,1,1,0,1,1,0,1,,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,3,1,21,1,1,3.5,A,1,,1,3,,12500,2,4000,2,2,5,4,3,3,3,3,3,3,3,4,3,4,4,3,3,3,4,#NULL!,1,1,0,0,1,0,1,,3,4,3,3,3,3,4,4,4,3,4,3,3,4,4,4,4,3,3,3,3,4,3,3,3,4,3,3,3,4
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,2,1,18,4,1,3.5,A,1,,2,1,,999,3,5000,1,2,5,2,1,3,999,999,999,3,3,4,999,999,3,3,3,3,4,#NULL!,1,1,0,1,1,0,1,,4,5,3,2,2,5,5,3,3,5,4,5,5,3,3,3,3,5,5,4,3,5,3,5,3,5,3,5,5,5
1,2,นวัตกรรมสังคม,international development,3,1,21,3,1,3.5,A,1,,1,3,,40000,2,6000,1,2,5,4,3,-1,-5,-5,-4,1,4,4,-5,999,4,3,2,-2,4,#NULL!,1,1,0,0,1,1,1,,5,4,3,2,3,4,2,3,5,4,4,4,4,2,4,2,5,2,4,5,4,5,4,1,2,4,3,4,1,5
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,3,1,20,3,2,3.5,A,1,,2,1,,999,3,10000,1,2,5,5,5,4,1,2,2,2,999,4,4,999,3,3,1,1,4,#NULL!,1,1,1,0,1,1,1,,4,4,3,3,4,3,3,4,4,4,3,3,3,3,3,4,4,3,4,3,3,4,4,3,3,3,3,3,3,4
